read_id,barcode_id,sample_id,score,status,trimmed_seq,left_barcode_id,right_barcode_id,adapter_penalty,barcode_penalty,primer_penalty,layout_penalty,total_penalty,trim_start,trim_end
2507901449011_1_148_6_130461_22754_2_14.76,FB4_RB5,,0,Pass,,FB4,RB5,0,0,0.0,0,0,,
2507901449011_1_151_7_148289_5711_1_13.13,Unknown,,0.0,NoValidLayout,,,,0.0,0.0,0.0,0.0,0.0,,
2507901449011_1_163_5_131120_19872_3_10.03,None_RB4,,0,Pass,,,RB4,0,0,0.0,0,0,,
2507901449011_1_165_7_130628_19574_1_12.87,None_RB2,,0,Pass,,,RB2,0,0,0.0,0,0,,
2507901449011_1_192_5_125470_29217_1_12.07,FB10_None,,-1,Pass,,FB10,,0,1,0.0,0,1,,
2507901449011_1_211_8_143681_7154_2_10.12,None_RB3,,0,Pass,,,RB3,0,0,0.0,0,0,,
2507901449011_1_213_5_134894_18711_1_16.51,FB7_None,,0,Pass,,FB7,,0,0,0.0,0,0,,
2507901449011_1_215_6_130647_23780_3_17.44,FB10_None,,0,Pass,,FB10,,0,0,0.0,0,0,,
2507901449011_1_225_6_130839_21365_2_12.09,None_RB4,,0,Pass,,,RB4,0,0,0.0,0,0,,
2507901449011_1_248_7_132317_21006_3_14.33,FB10_None,,0,Pass,,FB10,,0,0,0.0,0,0,,
2507901449011_1_250_8_143371_9199_2_10.99,FB4_None,,0,Pass,,FB4,,0,0,0.0,0,0,,
2507901449011_1_15_8_138290_20746_2_11.76,None_RB2,,0,Pass,,,RB2,0,0,0.0,0,0,,
2507901449011_1_25_7_136126_22745_2_12.48,FB1_None,,0,Pass,,FB1,,0,0,0.0,0,0,,
2507901449011_1_56_5_132109_24406_1_13.53,Unknown,,0.0,NoValidLayout,,,,0.0,0.0,0.0,0.0,0.0,,
2507901449011_1_62_6_137091_20525_1_12.72,None_RB6,,0,Pass,,,RB6,0,0,0.0,0,0,,
2507901449011_1_103_5_137387_21144_1_8.51,FB5_None,,-2,Pass,,FB5,,0,2,0.0,0,2,,
2507901449011_1_133_7_137546_21783_2_15.20,FB10_None,,0,Pass,,FB10,,0,0,0.0,0,0,,
2507901449011_1_150_8_134482_21380_1_14.42,FB10_None,,0,Pass,,FB10,,0,0,0.0,0,0,,
2507901449011_1_164_6_146166_10612_1_11.43,FB5_None,,0,Pass,,FB5,,0,0,0.0,0,0,,
2507901449011_1_166_8_134717_20634_2_13.57,None_RB8,,-1,Pass,,,RB8,0,1,0.0,0,1,,
2507901449011_1_178_5_128648_27812_3_11.05,Unknown,,0.0,NoValidLayout,,,,0.0,0.0,0.0,0.0,0.0,,
2507901449011_1_179_8_149030_10504_2_13.63,None_RB8,,0,Pass,,,RB8,0,0,0.0,0,0,,
2507901449011_1_200_3_102332_53053_2_9.58,Unknown,,0.0,NoValidLayout,,,,0.0,0.0,0.0,0.0,0.0,,
2507901449011_1_201_6_133737_22323_1_10.81,FB1_None,,0,Pass,,FB1,,0,0,0.0,0,0,,
2507901449011_1_202_7_136030_22259_1_8.80,None_RB8,,0,Pass,,,RB8,0,0,0.0,0,0,,
2507901449011_1_203_7_138494_21464_1_15.66,None_RB2,,-2,Pass,,,RB2,0,2,0.0,0,2,,
2507901449011_1_253_8_138176_20690_1_15.54,FB4_None,,0,Pass,,FB4,,0,0,0.0,0,0,,
2507901449011_1_254_7_127801_27593_1_13.09,None_RB4,,0,Pass,,,RB4,0,0,0.0,0,0,,
2507901449011_1_13_5_135768_28384_2_10.78,FB5_None,,-3,Pass,,FB5,,0,3,0.0,0,3,,
2507901449011_1_22_7_121137_36500_1_15.64,None_RB1,,-3,Pass,,,RB1,0,3,0.0,0,3,,
2507901449011_1_28_9_139109_22445_1_12.47,FB7_None,,0,Pass,,FB7,,0,0,0.0,0,0,,
2507901449011_1_29_6_141200_20480_0_12.86,None_RB8,,-3,Pass,,,RB8,0,3,0.0,0,3,,
2507901449011_1_36_5_136559_23454_0_10.57,FB4_None,,0,Pass,,FB4,,0,0,0.0,0,0,,
2507901449011_1_52_7_140115_21887_0_12.93,FB10_None,,0,Pass,,FB10,,0,0,0.0,0,0,,
2507901449011_1_55_8_140250_23470_1_13.97,FB4_None,,0,Pass,,FB4,,0,0,0.0,0,0,,
2507901449011_1_92_6_138257_23452_1_16.27,FB7_None,,0,Pass,,FB7,,0,0,0.0,0,0,,
2507901449011_1_118_6_142833_19780_1_16.11,FB7_None,,0,Pass,,FB7,,0,0,0.0,0,0,,
2507901449011_1_126_8_143531_20758_1_14.30,None_RB2,,0,Pass,,,RB2,0,0,0.0,0,0,,
2507901449011_1_132_9_143437_20331_1_12.29,Unknown,,0.0,NoMatches,,,,0.0,0.0,0.0,0.0,0.0,,
2507901449011_1_168_7_142154_20469_1_13.51,FB4_None,,0,Pass,,FB4,,0,0,0.0,0,0,,
2507901449011_1_172_6_141906_22854_3_16.76,FB4_RB4,,0,Pass,,FB4,RB4,0,0,0.0,0,0,,
2507901449011_1_183_5_140089_24137_1_8.98,None_RB2,,0,Pass,,,RB2,0,0,0.0,0,0,,
2507901449011_1_193_9_141394_18500_3_12.13,None_RB4,,0,Pass,,,RB4,0,0,0.0,0,0,,
2507901449011_1_208_8_140842_19732_0_12.92,FB5_None,,0,Pass,,FB5,,0,0,0.0,0,0,,
2507901449011_1_210_8_144510_20382_0_13.04,FB1_None,,0,Pass,,FB1,,0,0,0.0,0,0,,
2507901449011_1_214_6_138167_22572_0_12.94,FB4_None,,0,Pass,,FB4,,0,0,0.0,0,0,,
2507901449011_1_230_9_148839_15905_0_16.01,Unknown,,0.0,NoMatches,,,,0.0,0.0,0.0,0.0,0.0,,
2507901449011_1_242_6_143698_19192_3_16.13,FB1_None,,0,Pass,,FB1,,0,0,0.0,0,0,,
2507901449011_1_10_6_146981_22263_2_12.32,FB7_None,,0,Pass,,FB7,,0,0,0.0,0,0,,
2507901449011_1_35_9_143947_25664_2_12.44,FB4_None,,0,Pass,,FB4,,0,0,0.0,0,0,,
2507901449011_1_40_9_146445_20938_0_11.13,FB4_None,,0,Pass,,FB4,,0,0,0.0,0,0,,
2507901449011_1_53_5_146661_21524_2_14.61,None_RB4,,-2,Pass,,,RB4,0,2,0.0,0,2,,
2507901449011_1_68_11_147602_21124_1_16.35,FB1_None,,0,Pass,,FB1,,0,0,0.0,0,0,,
2507901449011_1_74_11_136918_31255_3_7.84,Unknown,,0.0,NoMatches,,,,0.0,0.0,0.0,0.0,0.0,,
2507901449011_1_98_6_159610_8129_1_15.49,FB1_None,,0,Pass,,FB1,,0,0,0.0,0,0,,
2507901449011_1_102_3_147083_18500_1_14.04,FB1_None,,0,Pass,,FB1,,0,0,0.0,0,0,,
2507901449011_1_131_6_144614_22379_1_9.10,None_RB8,,-3,Pass,,,RB8,0,3,0.0,0,3,,
2507901449011_1_138_7_144691_23024_0_14.15,None_RB4,,0,Pass,,,RB4,0,0,0.0,0,0,,
2507901449011_1_141_11_138798_28653_1_10.22,None_RB4,,-2,Pass,,,RB4,0,2,0.0,0,2,,
2507901449011_1_146_8_147819_21415_2_15.42,FB4_None,,-2,Pass,,FB4,,0,2,0.0,0,2,,
2507901449011_1_154_7_156936_11718_1_8.64,Unknown,,0.0,NoMatches,,,,0.0,0.0,0.0,0.0,0.0,,
2507901449011_1_155_9_147292_22282_2_14.30,None_RB8,,0,Pass,,,RB8,0,0,0.0,0,0,,
2507901449011_1_159_7_148643_20823_2_14.33,FB1_None,,-1,Pass,,FB1,,0,1,0.0,0,1,,
2507901449011_1_160_8_145282_21836_0_10.64,None_RB4,,-1,Pass,,,RB4,0,1,0.0,0,1,,
2507901449011_1_167_5_144066_21906_2_12.02,FB7_None,,-3,Pass,,FB7,,0,3,0.0,0,3,,
2507901449011_1_180_3_141097_27500_1_14.14,FB7_None,,0,Pass,,FB7,,0,0,0.0,0,0,,
2507901449011_1_184_6_145475_21753_1_14.34,FB4_None,,0,Pass,,FB4,,0,0,0.0,0,0,,
2507901449011_1_197_8_141760_23703_0_12.90,FB4_None,,0,Pass,,FB4,,0,0,0.0,0,0,,
2507901449011_1_198_8_149717_20051_1_12.03,FB5_None,,-1,Pass,,FB5,,0,1,0.0,0,1,,
2507901449011_1_219_6_146508_18500_1_16.85,Unknown,,0.0,NoValidLayout,,,,0.0,0.0,0.0,0.0,0.0,,
2507901449011_1_220_9_159915_5526_1_17.33,None_RB8,,0,Pass,,,RB8,0,0,0.0,0,0,,
2507901449011_1_246_7_143875_23099_2_15.99,None_RB2,,0,Pass,,,RB2,0,0,0.0,0,0,,
2507901449011_1_18_8_154915_19164_1_13.03,None_RB8,,0,Pass,,,RB8,0,0,0.0,0,0,,
2507901449011_1_20_7_149005_24707_1_8.01,Unknown,,0.0,NoMatches,,,,0.0,0.0,0.0,0.0,0.0,,
2507901449011_1_27_4_153303_19374_2_10.45,Unknown,,0.0,NoValidLayout,,,,0.0,0.0,0.0,0.0,0.0,,
2507901449011_1_37_8_149762_20876_0_13.55,None_RB3,,-3,Pass,,,RB3,0,3,0.0,0,3,,
2507901449011_1_41_7_149261_24548_2_14.55,None_RB3,,0,Pass,,,RB3,0,0,0.0,0,0,,
2507901449011_1_48_5_151392_21001_0_12.28,FB2_None,,0,Pass,,FB2,,0,0,0.0,0,0,,
2507901449011_1_60_4_150678_21818_1_10.23,None_RB1,,0,Pass,,,RB1,0,0,0.0,0,0,,
2507901449011_1_63_6_149945_22788_2_12.60,FB10_None,,-3,Pass,,FB10,,0,3,0.0,0,3,,
2507901449011_1_71_6_145811_28663_3_14.18,FB5_RB5,,0,Pass,,FB5,RB5,0,0,0.0,0,0,,
2507901449011_1_80_4_150508_21769_0_13.47,FB1_RB2,,0,Pass,,FB1,RB2,0,0,0.0,0,0,,
2507901449011_1_94_8_152060_19647_2_14.08,Unknown,,0.0,NoValidLayout,,,,0.0,0.0,0.0,0.0,0.0,,
2507901449011_1_105_4_140207_32000_2_17.40,None_RB6,,-1,Pass,,,RB6,0,1,0.0,0,1,,
2507901449011_1_108_7_145704_25235_1_11.50,FB10_None,,0,Pass,,FB10,,0,0,0.0,0,0,,
2507901449011_1_120_8_150798_22567_1_13.96,None_RB4,,0,Pass,,,RB4,0,0,0.0,0,0,,
2507901449011_1_123_8_147170_26492_1_15.68,FB5_None,,-3,Pass,,FB5,,0,3,0.0,0,3,,
2507901449011_1_125_7_167144_5210_3_11.74,None_RB3,,0,Pass,,,RB3,0,0,0.0,0,0,,
2507901449011_1_145_9_151645_23000_2_13.93,FB1_RB1,,0,Pass,,FB1,RB1,0,0,0.0,0,0,,
2507901449011_1_148_7_153830_20570_2_17.15,None_RB2,,0,Pass,,,RB2,0,0,0.0,0,0,,
2507901449011_1_158_3_134376_39329_2_11.63,None_RB8,,0,Pass,,,RB8,0,0,0.0,0,0,,
2507901449011_1_187_6_151787_23082_1_10.85,None_RB2,,-1,Pass,,,RB2,0,1,0.0,0,1,,
2507901449011_1_195_5_154998_19379_1_9.44,Unknown,,0.0,NoMatches,,,,0.0,0.0,0.0,0.0,0.0,,
2507901449011_1_199_7_150419_20278_2_15.18,FB5_None,,0,Pass,,FB5,,0,0,0.0,0,0,,
2507901449011_1_209_6_147747_25555_3_16.23,None_RB4,,0,Pass,,,RB4,0,0,0.0,0,0,,
2507901449011_1_218_8_151294_22509_0_17.28,None_RB7,,0,Pass,,,RB7,0,0,0.0,0,0,,
2507901449011_1_225_7_152587_19863_2_16.21,FB5_None,,0,Pass,,FB5,,0,0,0.0,0,0,,
2507901449011_1_226_9_150893_21078_1_14.40,Unknown,,0.0,NoValidLayout,,,,0.0,0.0,0.0,0.0,0.0,,
2507901449011_1_250_9_154828_19940_2_17.88,None_RB3,,0,Pass,,,RB3,0,0,0.0,0,0,,
2507901449011_1_256_6_154370_19398_0_12.60,None_RB6,,0,Pass,,,RB6,0,0,0.0,0,0,,
2507901449011_1_11_3_158784_20120_1_11.40,Unknown,,0.0,NoMatches,,,,0.0,0.0,0.0,0.0,0.0,,
2507901449011_1_50_6_155609_22925_0_11.92,FB4_None,,0,Pass,,FB4,,0,0,0.0,0,0,,
2507901449011_1_57_10_155713_20360_1_13.54,FB10_None,,0,Pass,,FB10,,0,0,0.0,0,0,,
2507901449011_1_59_7_157438_19932_3_11.95,FB4_None,,0,Pass,,FB4,,0,0,0.0,0,0,,
2507901449011_1_64_9_150434_24593_0_14.50,FB4_None,,0,Pass,,FB4,,0,0,0.0,0,0,,
2507901449011_1_69_6_153005_22041_1_14.48,FB7_None,,0,Pass,,FB7,,0,0,0.0,0,0,,
2507901449011_1_75_5_154263_22711_1_15.28,None_RB4,,0,Pass,,,RB4,0,0,0.0,0,0,,
2507901449011_1_76_9_154931_20150_1_14.79,None_RB7,,-1,Pass,,,RB7,0,1,0.0,0,1,,
2507901449011_1_81_5_157541_21613_1_13.10,None_RB6,,-2,Pass,,,RB6,0,2,0.0,0,2,,
2507901449011_1_84_9_148904_29216_1_7.55,FB10_None,,-3,Pass,,FB10,,0,3,0.0,0,3,,
2507901449011_1_90_5_157608_21148_1_13.94,FB5_None,,0,Pass,,FB5,,0,0,0.0,0,0,,
2507901449011_1_114_6_153302_22063_1_14.42,FB5_None,,0,Pass,,FB5,,0,0,0.0,0,0,,
2507901449011_1_136_6_159098_20238_1_13.66,None_RB2,,0,Pass,,,RB2,0,0,0.0,0,0,,
2507901449011_1_143_10_153751_21781_1_11.91,Unknown,,0.0,NoValidLayout,,,,0.0,0.0,0.0,0.0,0.0,,
2507901449011_1_151_8_156875_21969_1_13.52,None_RB6,,0,Pass,,,RB6,0,0,0.0,0,0,,
2507901449011_1_165_8_155618_20228_1_14.19,FB7_None,,0,Pass,,FB7,,0,0,0.0,0,0,,
2507901449011_1_171_11_151041_25702_1_12.28,None_RB2,,0,Pass,,,RB2,0,0,0.0,0,0,,
2507901449011_1_177_7_154833_22964_2_12.05,None_RB6,,-1,Pass,,,RB6,0,1,0.0,0,1,,
2507901449011_1_186_18_167652_11090_1_16.58,Unknown,,0.0,NoMatches,,,,0.0,0.0,0.0,0.0,0.0,,
2507901449011_1_190_6_144814_30490_3_10.78,FB5_None,,0,Pass,,FB5,,0,0,0.0,0,0,,
2507901449011_1_204_6_154705_20896_1_10.56,FB7_None,,-1,Pass,,FB7,,0,1,0.0,0,1,,
2507901449011_1_213_6_157612_18500_1_14.46,None_RB7,,0,Pass,,,RB7,0,0,0.0,0,0,,
2507901449011_1_243_6_161768_15613_1_10.25,FB4_None,,0,Pass,,FB4,,0,0,0.0,0,0,,
2507901449011_1_248_8_157174_21116_3_16.07,FB7_None,,0,Pass,,FB7,,0,0,0.0,0,0,,
2507901449011_1_9_7_164539_17657_0_11.64,None_RB4,,-3,Pass,,,RB4,0,3,0.0,0,3,,
2507901449011_1_51_6_162077_18683_1_10.61,None_RB6,,-3,Pass,,,RB6,0,3,0.0,0,3,,
2507901449011_1_65_7_156368_27715_2_9.72,FB7_None,,0,Pass,,FB7,,0,0,0.0,0,0,,
2507901449011_1_79_6_161540_19252_3_11.78,None_RB7,,0,Pass,,,RB7,0,0,0.0,0,0,,
2507901449011_1_103_6_160527_21303_1_8.96,FB2_None,,0,Pass,,FB2,,0,0,0.0,0,0,,
2507901449011_1_119_6_159886_21286_1_9.82,FB7_None,,0,Pass,,FB7,,0,0,0.0,0,0,,
2507901449011_1_124_10_163131_21326_1_11.04,FB7_None,,-1,Pass,,FB7,,0,1,0.0,0,1,,
2507901449011_1_142_7_159400_22416_2_10.99,FB1_None,,0,Pass,,FB1,,0,0,0.0,0,0,,
2507901449011_1_161_9_154220_27500_1_12.40,FB4_None,,-3,Pass,,FB4,,0,3,0.0,0,3,,
2507901449011_1_173_7_168061_12168_3_11.44,Unknown,,0.0,NoValidLayout,,,,0.0,0.0,0.0,0.0,0.0,,
2507901449011_1_179_9_161652_22574_2_7.31,FB10_None,,-2,Pass,,FB10,,0,2,0.0,0,2,,
2507901449011_1_206_6_163388_21337_1_15.28,None_RB7,,0,Pass,,,RB7,0,0,0.0,0,0,,
2507901449011_1_216_9_164881_19047_1_15.96,FB7_None,,0,Pass,,FB7,,0,0,0.0,0,0,,
2507901449011_1_220_10_168096_12630_1_11.65,FB5_None,,0,Pass,,FB5,,0,0,0.0,0,0,,
2507901449011_1_229_6_137051_44856_1_11.87,FB10_None,,0,Pass,,FB10,,0,0,0.0,0,0,,
2507901449011_1_234_5_156397_26481_1_9.87,Unknown,,0.0,NoMatches,,,,0.0,0.0,0.0,0.0,0.0,,
2507901449011_1_13_6_164213_21612_2_10.48,Unknown,,0.0,NoValidLayout,,,,0.0,0.0,0.0,0.0,0.0,,
2507901449011_1_29_7_166616_21538_0_14.23,FB10_None,,0,Pass,,FB10,,0,0,0.0,0,0,,
2507901449011_1_36_6_168393_18842_0_11.98,FB7_None,,-1,Pass,,FB7,,0,1,0.0,0,1,,
2507901449011_1_52_9_167899_20754_0_12.64,FB7_None,,-1,Pass,,FB7,,0,1,0.0,0,1,,
2507901449011_1_71_7_182437_6498_3_9.51,FB10_None,,-2,Pass,,FB10,,0,2,0.0,0,2,,
2507901449011_1_89_7_164119_24198_1_9.92,FB1_None,,0,Pass,,FB1,,0,0,0.0,0,0,,
2507901449011_1_92_8_168363_20090_1_14.39,None_RB8,,0,Pass,,,RB8,0,0,0.0,0,0,,
2507901449011_1_101_8_165124_22116_3_13.88,FB7_None,,0,Pass,,FB7,,0,0,0.0,0,0,,
2507901449011_1_116_6_158342_28804_2_10.16,None_RB6,,-1,Pass,,,RB6,0,1,0.0,0,1,,
2507901449011_1_126_9_167030_21645_1_11.57,FB7_None,,-2,Pass,,FB7,,0,2,0.0,0,2,,
2507901449011_1_138_8_167821_21238_0_15.64,FB4_None,,0,Pass,,FB4,,0,0,0.0,0,0,,
2507901449011_1_150_9_167251_21190_1_14.35,None_RB2,,-1,Pass,,,RB2,0,1,0.0,0,1,,
2507901449011_1_156_6_179791_5419_1_13.94,FB4_None,,0,Pass,,FB4,,0,0,0.0,0,0,,
2507901449011_1_163_6_155524_27500_3_10.93,FB4_None,,0,Pass,,FB4,,0,0,0.0,0,0,,
2507901449011_1_174_11_163309_22174_1_8.05,FB10_None,,0,Pass,,FB10,,0,0,0.0,0,0,,
2507901449011_1_178_7_169048_19623_3_12.44,FB10_RB4,,0,Pass,,FB10,RB4,0,0,0.0,0,0,,
2507901449011_1_192_6_159253_29639_1_10.16,FB4_None,,-2,Pass,,FB4,,0,2,0.0,0,2,,
2507901449011_1_195_6_178528_7108_1_9.91,FB1_None,,0,Pass,,FB1,,0,0,0.0,0,0,,
2507901449011_1_203_8_160869_27836_1_13.08,FB2_None,,0,Pass,,FB2,,0,0,0.0,0,0,,
2507901449011_1_221_7_167256_22249_1_7.59,Unknown,,0.0,NoValidLayout,,,,0.0,0.0,0.0,0.0,0.0,,
2507901449011_1_223_9_159307_27008_2_15.01,None_RB4,,0,Pass,,,RB4,0,0,0.0,0,0,,
2507901449011_1_230_10_166821_22297_0_15.68,FB1_None,,0,Pass,,FB1,,0,0,0.0,0,0,,
2507901449011_1_238_6_166154_23514_3_9.33,FB10_None,,-2,Pass,,FB10,,0,2,0.0,0,2,,
2507901449011_1_242_7_163315_25039_3_16.00,None_RB6,,-1,Pass,,,RB6,0,1,0.0,0,1,,
2507901449011_1_244_9_183846_5754_1_15.60,FB5_None,,-2,Pass,,FB5,,0,2,0.0,0,2,,
2507901449011_1_24_6_171446_22285_2_14.60,FB1_None,,-1,Pass,,FB1,,0,1,0.0,0,1,,
2507901449011_1_32_4_167924_24430_0_10.01,FB5_RB5,,0,Pass,,FB5,RB5,0,0,0.0,0,0,,
2507901449011_1_35_10_169887_22198_2_14.14,FB5_None,,-3,Pass,,FB5,,0,3,0.0,0,3,,
2507901449011_1_53_6_170430_20646_2_13.14,None_RB7,,-2,Pass,,,RB7,0,2,0.0,0,2,,
2507901449011_1_60_5_173468_19070_1_10.93,FB10_None,,0,Pass,,FB10,,0,0,0.0,0,0,,
2507901449011_1_74_12_171508_22513_3_8.79,FB1_None,,-2,Pass,,FB1,,0,2,0.0,0,2,,
2507901449011_1_83_9_172690_21593_2_14.09,FB2_None,,-2,Pass,,FB2,,0,2,0.0,0,2,,
2507901449011_1_97_10_168907_21693_2_12.69,FB1_None,,-1,Pass,,FB1,,0,1,0.0,0,1,,
2507901449011_1_118_7_175228_18022_1_14.29,FB10_None,,0,Pass,,FB10,,0,0,0.0,0,0,,
2507901449011_1_131_7_172668_20840_1_10.64,FB1_None,,-1,Pass,,FB1,,0,1,0.0,0,1,,
2507901449011_1_132_10_170698_21147_1_11.00,None_RB8,,-3,Pass,,,RB8,0,3,0.0,0,3,,
2507901449011_1_155_10_170295_21982_2_14.16,None_RB2,,-1,Pass,,,RB2,0,1,0.0,0,1,,
2507901449011_1_184_8_171768_22906_1_13.85,None_RB8,,-1,Pass,,,RB8,0,1,0.0,0,1,,
2507901449011_1_198_9_170638_20386_1_12.04,None_RB2,,0,Pass,,,RB2,0,0,0.0,0,0,,
2507901449011_1_214_7_167700_24053_0_9.50,None_RB7,,-1,Pass,,,RB7,0,1,0.0,0,1,,
2507901449011_1_219_7_173120_21113_1_15.07,None_RB8,,0,Pass,,,RB8,0,0,0.0,0,0,,
2507901449011_1_246_8_168588_23295_2_15.26,None_RB2,,0,Pass,,,RB2,0,0,0.0,0,0,,
2507901449011_1_254_8_170696_23070_1_13.84,FB4_None,,0,Pass,,FB4,,0,0,0.0,0,0,,
